Feature,Score
prev_stage,128912.61079687517
slow_fast_ratio,23813.457529286494
delta_power_log,19109.74994281553
delta_power,16624.822098852816
delta_theta_ratio,10455.336703883997
std,8848.019618651837
theta_power_log,7994.635688976799
beta_power,5919.253210862575
gamma_power,5838.729836721921
theta_power,4670.4510148260715
theta_alpha_ratio,4430.989367052996
alpha_power_log,3630.848757369738
beta_power_log,2962.648607327396
gamma_power_log,2455.468167562291
alpha_power,1681.3722775229537
mean,56.75075219360145
