Feature,Score
prev_stage,0.8607414469137411
delta_power_log,0.34648863476829583
slow_fast_ratio,0.266866288643266
delta_power,0.22436834980585507
theta_power_log,0.18625183122858013
std,0.1659928201554881
delta_theta_ratio,0.1476361686642913
theta_power,0.10412776739761487
alpha_power_log,0.10333329916192247
beta_power_log,0.09580760789892162
gamma_power_log,0.0920593544671453
theta_alpha_ratio,0.07881110102194233
gamma_power,0.05191980799239637
beta_power,0.04915773272793045
alpha_power,0.046996603553455696
mean,0.007950615334246791
